試合,公式戦,J1,年月日,大会名ほか,相手チーム,会場,項目,H/A,スコア,得点,失点,観客数
375,217,165,1997.04.19,1997Jリーグ 1stステージ 第3節,サンフレッチェ広島,国立競技場,L,H,● 0 - 1,0,1,"38,707人"
376,218,166,1997.04.23,1997Jリーグ 1stステージ 第4節,アビスパ福岡,東平尾公園博多の森球技場,L,A,○ 3 - 0,3,0,"5,317人"
377,219,167,1997.04.26,1997Jリーグ 1stステージ 第5節,セレッソ大阪,浦和市駒場スタジアム,L,H,● 1 - 2,1,2,"18,902人"
378,,,1997.04.27,1997Jサテライトリーグ 第8節,鹿島アントラーズ,鹿島アントラーズクラブハウスグラウンド,S,A,○ 1 - 0,1,0,508人
379,220,168,1997.05.03,1997Jリーグ 1stステージ 第6節,ヴィッセル神戸,神戸総合運動公園ユニバー記念競技場,L,A,○ 2 - 0,2,0,"8,542人"
380,,,1997.05.04,1997Jサテライトリーグ 第9節,柏レイソル,鴻巣市立陸上競技場,S,H,● 2 - 3,2,3,"3,888人"
381,221,169,1997.05.07,1997Jリーグ 1stステージ 第7節,鹿島アントラーズ,浦和市駒場スタジアム,L,H,● 1 - 3,1,3,"18,741人"
382,222,170,1997.05.10,1997Jリーグ 1stステージ 第8節,名古屋グランパスエイト,名古屋市瑞穂陸上競技場,L,A,● 1 - 3,1,3,"18,281人"
383,,,1997.05.11,1997Jサテライトリーグ 第10節,ヴェルディ川崎,五戸町ひばり野公園陸上競技場,S,A,△ 2 - 2,2,2,"1,104人"
中止,中止,中止,1997.05.17,1997Jリーグ 1stステージ 第9節,横浜フリューゲルス,浦和市駒場スタジアム,L,H,中止,-,-,"18,602人"
384,223,171,1997.05.24,1997Jリーグ 1stステージ 第10節,ジュビロ磐田,ジュビロ磐田スタジアム,L,A,● 0 - 2,0,2,"11,654人"
385,224,172,1997.05.28,1997Jリーグ 1stステージ 第11節,柏レイソル,浦和市駒場スタジアム,L,H,○ 3 - 2,3,2,"18,021人"
386,225,173,1997.07.02,1997Jリーグ 1stステージ 第9節,横浜フリューゲルス,浦和市駒場スタジアム,L,H,● 1 - 3,1,3,"14,937人"
387,226,174,1997.07.05,1997Jリーグ 1stステージ 第13節,ガンバ大阪,万博記念競技場,L,A,○ 2 - 1,2,1,"16,071人"
388,227,175,1997.07.09,1997Jリーグ 1stステージ 第14節,ヴェルディ川崎,浦和市駒場スタジアム,L,H,○ 2 - 0,2,0,"18,927人"
389,228,176,1997.07.12,1997Jリーグ 1stステージ 第15節,京都パープルサンガ,京都市西京極総合運動公園陸上競技場兼球技場,L,A,○ 1 - 1 (PK 4 - 3),1,1,"6,149人"
390,229,177,1997.07.16,1997Jリーグ 1stステージ 第16節,ジェフユナイテッド市原,浦和市駒場スタジアム,L,H,○ 3 - 0,3,0,"18,127人"
391,230,178,1997.07.19,1997Jリーグ 1stステージ 第17節,ベルマーレ平塚,平塚競技場,L,A,● 2 - 3,2,3,"11,056人"
392,,,1997.07.22,SHARP CUP WORLD SOCCER 1997,マンチェスター・ユナイテッド(イングランド),浦和市駒場スタジアム,I,H,● 1 - 2,1,2,"17,642人"
393,231,179,1997.07.30,1997Jリーグ 2ndステージ 第1節,ジェフユナイテッド市原,市原臨海競技場,L,A,● 0 - 1,0,1,"3,610人"
394,232,180,1997.08.02,1997Jリーグ 2ndステージ 第2節,横浜マリノス,横浜市三ツ沢公園球技場,L,A,○ 2 - 0,2,0,"13,269人"
395,233,181,1997.08.06,1997Jリーグ 2ndステージ 第3節,清水エスパルス,浦和市駒場スタジアム,L,H,● 3 - 4,3,4,"17,890人"
396,234,182,1997.08.09,1997Jリーグ 2ndステージ 第4節,サンフレッチェ広島,広島ビッグアーチ,L,A,○ 2 - 1,2,1,"6,342人"
397,235,183,1997.08.16,1997Jリーグ 2ndステージ 第5節,アビスパ福岡,浦和市駒場スタジアム,L,H,● 1 - 2,1,2,"18,223人"
398,236,184,1997.08.20,1997Jリーグ 2ndステージ 第6節,セレッソ大阪,大阪長居スタジアム,L,A,○ 2 - 1,2,1,"7,841人"
399,237,185,1997.08.23,1997Jリーグ 2ndステージ 第7節,ヴィッセル神戸,浦和市駒場スタジアム,L,H,○ 2 - 0,2,0,"18,412人"
400,238,186,1997.08.30,1997Jリーグ 2ndステージ 第8節,鹿島アントラーズ,茨城県立カシマサッカースタジアム,L,A,● 0 - 1,0,1,"16,752人"
401,239,187,1997.09.03,1997Jリーグ 2ndステージ 第9節,名古屋グランパスエイト,浦和市駒場スタジアム,L,H,○ 3 - 0,3,0,"17,305人"
402,240,188,1997.09.06,1997Jリーグ 2ndステージ 第10節,横浜フリューゲルス,横浜市三ツ沢公園球技場,L,A,○ 3 - 1,3,1,"10,846人"
403,241,189,1997.09.10,1997Jリーグ 2ndステージ 第11節,京都パープルサンガ,浦和市駒場スタジアム,L,H,○ 4 - 1,4,1,"16,732人"
404,242,190,1997.09.13,1997Jリーグ 2ndステージ 第12節,ジュビロ磐田,浦和市駒場スタジアム,L,H,● 0 - 1,0,1,"18,783人"
405,243,191,1997.09.24,1997Jリーグ 2ndステージ 第14節,柏レイソル,日立柏サッカー場,L,A,● 0 - 3,0,3,"7,892人"
406,244,192,1997.09.27,1997Jリーグ 2ndステージ 第15節,ガンバ大阪,国立競技場,L,H,● 1 - 4,1,4,"37,565人"
407,245,193,1997.10.01,1997Jリーグ 2ndステージ 第16節,ヴェルディ川崎,国立競技場,L,A,○ 2 - 1,2,1,"20,161人"
408,246,194,1997.10.04,1997Jリーグ 2ndステージ 第17節,ベルマーレ平塚,浦和市駒場スタジアム,L,H,○ 1 - 0,1,0,"16,690人"
409,247,,1997.10.15,1997Jリーグヤマザキナビスコカップ 準々決勝 第1戦,ジュビロ磐田,浦和市駒場スタジアム,LC,H,△ 0 - 0,0,0,"14,411人"
410,248,,1997.10.18,1997Jリーグヤマザキナビスコカップ 準々決勝 第2戦,ジュビロ磐田,ジュビロ磐田スタジアム,LC,A,● 2 - 3,2,3,"10,091人"
