試合,公式戦,J1,年月日,大会名ほか,相手チーム,会場,項目,H/A,スコア,得点,失点,観客数,date,year,month,day,weekday,result,延期or中止
1420,1116,794,2017.04.22,2017明治安田生命J1リーグ 第8節,北海道コンサドーレ札幌,埼玉スタジアム2002,L,H,○ 3 - 2,3,2,36880,2017-04-22,2017,4,22,土,W,False
1421,1117,,2017.04.26,AFCチャンピオンズリーグ2017 グループステージ MD5,ウェスタン･シドニー･ワンダラーズ(オーストラリア),埼玉スタジアム2002,ACL,H,○ 6 - 1,6,1,19467,2017-04-26,2017,4,26,水,W,False
1422,1118,795,2017.04.30,2017明治安田生命J1リーグ 第9節,大宮アルディージャ,NACK5スタジアム大宮,L,A,● 0 - 1,0,1,12401,2017-04-30,2017,4,30,日,L,False
1423,1119,796,2017.05.04,2017明治安田生命J1リーグ 第10節,鹿島アントラーズ,埼玉スタジアム2002,L,H,● 0 - 1,0,1,57447,2017-05-04,2017,5,4,木,L,False
1424,1120,,2017.05.10,AFCチャンピオンズリーグ2017 グループステージ MD6,FCソウル(韓国),ソウルワールドカップスタジアム,ACL,A,● 0 - 1,0,1,4933,2017-05-10,2017,5,10,水,L,False
1425,1121,797,2017.05.14,2017明治安田生命J1リーグ 第11節,アルビレックス新潟,デンカビッグスワンスタジアム,L,A,○ 6 - 1,6,1,30864,2017-05-14,2017,5,14,日,W,False
1426,1122,798,2017.05.20,2017明治安田生命J1リーグ 第12節,清水エスパルス,埼玉スタジアム2002,L,H,△ 3 - 3,3,3,33458,2017-05-20,2017,5,20,土,D,False
1427,1123,,2017.05.24,AFCチャンピオンズリーグ2017 ラウンド16 第1戦,済州ユナイテッドFC(韓国),済州総合競技場,ACL,A,● 0 - 2,0,2,1913,2017-05-24,2017,5,24,水,L,False
1428,1124,,2017.05.31,AFCチャンピオンズリーグ2017 ラウンド16 第2戦,済州ユナイテッドFC(韓国),埼玉スタジアム2002,ACL,H,○ 3 - 0,3,0,19149,2017-05-31,2017,5,31,水,W,False
1429,1125,799,2017.06.04,2017明治安田生命J1リーグ 第14節,柏レイソル,日立柏サッカー場,L,A,● 0 - 1,0,1,14096,2017-06-04,2017,6,4,日,L,False
